City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
192,hede,33.7681,120.2517,8.13,63,100,6.73,CN,1670093438
193,salalah,17.0151,54.0924,23.85,52,0,1.49,OM,1670093438
194,loa janan,-0.583,117.095,22.3,98,100,0.56,ID,1670093439
195,portland,45.5234,-122.6762,7.35,58,40,6.71,US,1670093235
196,puerto escondido,15.85,-97.0667,30.27,47,0,2.31,MX,1670093440
197,lososina,48.9975,140.3106,-13.85,60,0,4.87,RU,1670093440
198,hirara,24.8,125.2833,24.61,78,98,4.64,JP,1670093441
199,okha,53.5739,142.9478,-19.95,93,43,6.28,RU,1670093441
200,ponta do sol,32.6667,-17.1,16.67,80,54,5.36,PT,1670093442
201,college,64.8569,-147.8028,-3.82,89,100,3.09,US,1670093443
202,kutum,14.2,24.6667,19.32,15,5,4.27,SD,1670093443
203,kirovskiy,45.0917,133.5136,-17.16,85,47,2.96,RU,1670093444
204,cascais,38.6979,-9.4215,13.85,88,20,5.36,PT,1670093169
205,hovd,48.0056,91.6419,-18.74,77,1,1.95,MN,1670093445
206,lunenburg,44.3835,-64.3155,11.94,79,100,8.75,CA,1670093193
207,east london,-33.0153,27.9116,17.52,88,40,3.6,ZA,1670093446
208,port blair,11.6667,92.75,28.02,83,40,3.09,IN,1670093446
209,charters towers,-20.1,146.2667,19.39,77,0,3.17,AU,1670093447
210,pisco,-13.7,-76.2167,21.03,78,0,5.14,PE,1670093447
211,bereda,43.2686,-7.5406,5.32,96,38,1.83,ES,1670093448
212,kodiak,57.79,-152.4072,-6.27,79,0,3.09,US,1670093449
213,cabo san lucas,22.8909,-109.9124,32.56,54,0,3.13,MX,1670093296
214,jevnaker,60.2414,10.385,-1.58,97,58,1.49,NO,1670093449
215,barra patuca,15.8,-84.2833,27.29,79,1,5.4,HN,1670093450
216,tam ky,15.5667,108.4833,23.07,93,100,1.9,VN,1670093451
217,inverell,-29.7833,151.1167,11.48,87,98,0.45,AU,1670093451
218,karpogory,64.0019,44.4451,-13.5,95,94,1.88,RU,1670093452
219,diapaga,12.0708,1.7889,29.58,23,90,1.51,BF,1670093452
220,ostrovnoy,68.0531,39.5131,-7.02,94,66,4.02,RU,1670093453
221,palu,-0.8917,119.8707,23.87,96,100,1.06,ID,1670093430
222,great falls,47.5002,-111.3008,0.23,50,0,7.72,US,1670093316
223,hithadhoo,-0.6,73.0833,28.06,71,100,6.53,MV,1670093454
224,verkhnyaya toyma,62.2349,44.9985,-10.53,97,100,1.51,RU,1670093455
225,touros,-5.1989,-35.4608,27.81,67,17,7.44,BR,1670093455
226,westport,41.1415,-73.3579,13.9,89,100,10.8,US,1670093360
227,severo-kurilsk,50.6789,156.125,-3.62,82,35,3.06,RU,1670093456
228,vila franca do campo,37.7167,-25.4333,13.23,79,89,10.26,PT,1670093457
229,turayf,31.6725,38.6637,12.14,87,0,3.6,SA,1670093458
230,cherskiy,68.75,161.3,-21.78,87,100,2.99,RU,1670093458
231,brae,60.3964,-1.353,7.04,74,100,7.0,GB,1670093459
232,guarapari,-20.6667,-40.4975,22.16,97,100,3.58,BR,1670093459
233,lovozero,68.005,35.0117,-11.05,94,26,2.28,RU,1670093460
234,samdrup jongkhar,26.9167,91.6167,12.85,54,0,2.5,BT,1670093461
235,thinadhoo,0.5333,72.9333,27.11,75,100,6.71,MV,1670093461
236,beringovskiy,63.05,179.3167,-2.38,97,100,10.72,RU,1670093462
237,dongsheng,39.8161,109.9776,-9.67,25,0,2.72,CN,1670093462
238,springdale,36.1867,-94.1288,7.12,45,0,3.6,US,1670093256
239,thompson,55.7435,-97.8558,-24.91,77,0,4.63,CA,1670093463
240,aparecida do taboado,-20.0867,-51.0936,30.24,48,100,2.55,BR,1670093464
241,katherine,-14.4667,132.2667,23.18,73,100,1.03,AU,1670093464
242,daru,-9.0763,143.2092,25.36,85,100,2.42,PG,1670093465
243,revda,56.801,59.9303,-15.69,85,19,4.14,RU,1670093466
244,chernyshevskiy,63.0128,112.4714,-18.56,99,94,1.67,RU,1670093467
245,guatire,10.4762,-66.5427,28.16,79,87,1.69,VE,1670093467
246,chinu,9.1057,-75.3981,28.89,65,52,1.28,CO,1670093389
247,skagen,57.7209,10.5839,2.34,75,97,9.9,DK,1670093468
248,inhambane,-23.865,35.3833,25.99,94,75,3.38,MZ,1670093469
249,saint-pierre,-21.3393,55.4781,26.43,78,100,5.66,RE,1670093469
250,dunedin,-45.8742,170.5036,13.22,72,100,0.89,NZ,1670093470
251,tiarei,-17.5333,-149.3333,29.01,81,83,8.55,PF,1670093470
252,kjustendil,42.2839,22.6911,6.16,93,100,1.03,BG,1670093471
253,dikson,73.5069,80.5464,-3.95,93,100,6.86,RU,1670093251
254,tuatapere,-46.1333,167.6833,11.7,75,100,3.04,NZ,1670093412
255,bongaree,-27.0797,153.1586,19.01,75,88,7.43,AU,1670093472
256,comodoro rivadavia,-45.8667,-67.5,25.92,19,68,15.43,AR,1670093350
257,pietarsaari,63.65,22.6833,-6.11,88,52,2.42,FI,1670093473
258,yeppoon,-23.1333,150.7333,17.88,78,8,6.01,AU,1670093474
259,inuvik,68.3499,-133.7218,0.48,80,100,13.38,CA,1670093475
260,urussu,54.5981,53.4631,-22.03,96,6,0.82,RU,1670093475
261,waipawa,-41.4122,175.5153,10.73,73,62,1.86,NZ,1670093250
262,santa isabel do rio negro,-0.4139,-65.0192,28.2,85,96,0.57,BR,1670093476
